"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"The MEGA Life and Health Insurance Co.","UnitedHealth Group","$9,000","$0","$9,000","2008","20080617","consumer-protection-related offenses","insurance violation","","","state","agency action","Kansas Insurance Department","civil","","","","","","Kansas","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.ks.gov/department/LegalIssues/orders/2008/mega.pdf",""
"MAMSI Life and Health Insurance Co.","UnitedHealth Group","$6,000","$0","$6,000","2012","20120215","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2012-02-016","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Golden Rule Insurance Co.","UnitedHealth Group","$7,000","$0","$7,000","2013","20130529","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2013-05-054","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Optimum Choice, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2014","20140821","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2014-08-060","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"United Healthcare Insurance Co.","UnitedHealth Group","$32,400","$0","$32,400","2014","20141008","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2014-10-009","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare Insurance Co.","UnitedHealth Group","$36,800","$0","$36,800","2015","20150202","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-02-001","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare Insurance Co.","UnitedHealth Group","$140,000","$0","$140,000","2015","20150213","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-02-031","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"MAMSI Life and Health Insurance Co.","UnitedHealth Group","$20,800","$0","$20,800","2015","20150223","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-02-044","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare Insurance Co.","UnitedHealth Group","$36,800","$0","$36,800","2015","20150223","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-02-045","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Optimum Choice, Inc.","UnitedHealth Group","$66,600","$0","$66,600","2015","20150302","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-03-002","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare of the Mid-Atlantic, Inc.","UnitedHealth Group","$31,500","$0","$31,500","2015","20150302","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-03-004","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"United Healthcare Insurance Co.","UnitedHealth Group","$6,100","$0","$6,100","2015","20150323","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-03-024","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare Insurance Co.","UnitedHealth Group","$23,300","$0","$23,300","2015","20150630","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-06-056","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Golden Rule Insurance Co.","UnitedHealth Group","$13,650","$0","$13,650","2016","20160324","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-09-014","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"United Healthcare of the Mid-Atlantic, Inc.","UnitedHealth Group","$8,000","$0","$8,000","2016","20160419","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2016-04-029","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"United Healthcare Insurance Co.","UnitedHealth Group","$64,500","$0","$64,500","2016","20160419","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2016-04-029","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Optimum Choice, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2016","20160826","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2016-08-054","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"OptumRX, Inc.","UnitedHealth Group","$12,200","$0","$12,200","2016","20161026","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-10-023","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare Insurance Co.","UnitedHealth Group","$20,500","$0","$20,500","2017","20170224","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2017-02-028","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare Insurance Co.","UnitedHealth Group","$5,000","$0","$5,000","2018","20180427","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2018-04-047","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare of the Mid-Atlantic, Inc.","UnitedHealth Group","$9,750","$0","$9,750","2018","20180912","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2018-09-009","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Freedom Life Insurance Company of America","UnitedHealth Group","$6,750","$0","$6,750","2019","20190508","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2019-05-018","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare Insurance Company","UnitedHealth Group","$5,500","$0","$5,500","2019","20190715","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2019-07-015","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"OptumRx, Inc.","UnitedHealth Group","$48,400","$0","$48,400","2019","20190719","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2019-07-020","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Optimum Choice, Inc.","UnitedHealth Group","$30,000","$0","$30,000","2020","20200421","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2020-04-039","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare Insurance Co.","UnitedHealth Group","$62,500","$0","$62,500","2020","20200421","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2020-04-040","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"UnitedHealthcare of the Mid-Atlantic, Inc.","UnitedHealth Group","$30,000","$0","$30,000","2020","20200421","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2020-04-041","","","Maryland","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"United Behavioral Health","UnitedHealth Group","$10,000","$0","$10,000","2000","20000101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/00-3005.pdf","The copy of the Order available on agency webpage is undated"
"United Healthcare Insurance Co.","UnitedHealth Group","$20,000","$0","$20,000","2000","20000101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/00-3004.pdf","The copy of the Order available on agency webpage is undated"
"MEGA Life and Health Insurance Co.","UnitedHealth Group","$5,000","$0","$5,000","2002","20020101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/02-755.pdf","The copy of the Order available on agency webpage is undated"
"United Healthcare Insurance Co.","UnitedHealth Group","$5,000","$0","$5,000","2006","20060101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2005-2009/pdf/05-240.pdf","The copy of the Order available on agency webpage is undated"
"UnitedHealthCare Insurance Co.","UnitedHealth Group","$45,750","$0","$45,750","2018","20180206","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2015-2019/17-222.pdf",""
"MEGA Life and Health Insurance Co.","UnitedHealth Group","$75,000","$0","$75,000","2006","20060620","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={DF257C1A-C4AE-4B95-986D-05218A04CDEF}",""
"Chesapeake Life Insurance Co.","UnitedHealth Group","$25,000","$0","$25,000","2006","20060620","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={DF257C1A-C4AE-4B95-986D-05218A04CDEF}",""
"MEGA Life and Health Insurance Co.","UnitedHealth Group","$5,000","$0","$5,000","2009","20090907","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={3B3E69D6-1D8B-4856-AA31-CA992C9B8CDD}",""
"United Healthcare of of the Midwest","UnitedHealth Group","$224,075","$0","$224,075","2007","20070409","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/D1001020_stipulation.pdf",""
"United Healthcare of of the Midwest","UnitedHealth Group","$202,500","$0","$202,500","2008","20080117","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/UHCMidwest_stip.pdf",""
"United Healthcare Insurance Co.","UnitedHealth Group","$200,575","$0","$200,575","2008","20080123","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/UHC_stip.pdf",""
"United Healthcare Insurance Co.","UnitedHealth Group","$361,706","$0","$361,706","2009","20090825","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/UHCExam_000.pdf",""
"The Chesapeake Life Insurance Co. et al.","UnitedHealth Group","$171,706","$0","$171,706","2015","20151006","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/CLI.pdf","Penalty includes $106,706 owed to the First Steps Program."
"United Healthcare Insurance Co. et al.","UnitedHealth Group","$150,000","$0","$150,000","2016","20160707","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/UHLIC.pdf",""
"Freedom Life Insurance Company of America","UnitedHealth Group","$5,519","$0","$5,519","2019","20190411","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/FLICA419.pdf",""
"Chesapeake Life Ins. Co.","UnitedHealth Group","$50,000","$0","$50,000","2007","20070730","consumer-protection-related offenses","insurance violation","","","state","agency action","Mississippi Insurance Department","civil","","","","","","Mississippi","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://www.mid.ms.gov/legal/enforcement-actions.aspx#2007","Copy of Order not on Department website, details of shared or suspended penalties not available."
"Mega Life & Health Ins. Co.","UnitedHealth Group","$50,000","$0","$50,000","2007","20070730","consumer-protection-related offenses","insurance violation","","","state","agency action","Mississippi Insurance Department","civil","","","","","","Mississippi","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://www.mid.ms.gov/legal/enforcement-actions.aspx#2007","Copy of Order not on Department website, details of shared or suspended penalties not available."
"United Healthcare of Mississippi","UnitedHealth Group","$50,000","$0","$50,000","2008","20080305","consumer-protection-related offenses","insurance violation","","","state","agency action","Mississippi Insurance Department","civil","","","","","","Mississippi","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://www.mid.ms.gov/legal/enforcement-actions.aspx#2008","Copy of Order not on Department website, details of shared or suspended penalties not available."
"United Healthcare Insurance Co.","UnitedHealth Group","$50,000","$0","$50,000","2008","20080305","consumer-protection-related offenses","insurance violation","","","state","agency action","Mississippi Insurance Department","civil","","","","","","Mississippi","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://www.mid.ms.gov/legal/enforcement-actions.aspx#2008","Copy of Order not on Department website, details of shared or suspended penalties not available."
"UnitedHealth Group Inc.","UnitedHealth Group","$650,000","$0","$650,000","2007","20070518","consumer-protection-related offenses","insurance violation","","","state","agency action","Nebraska Department of Insurance","civil","","","","","","Nebraska","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","UNITEDHEALTH NEBRASKA UNITS TO PAY $650,000 FINE TO SETTLE CHARGES OVER CLAIMS PAYMENTS, Bestwire, May 18, 2007 (via Nexis).",""
"Oxford Health Plans of New Jersey","UnitedHealth Group","$275,000","$0","$275,000","2000","20000406","consumer-protection-related offenses","insurance violation","","New Jersey has fined two health maintenance organizations a total of more than $400,000 for violations that include failure to pay claims on time and failing to remove from a network a doctor with a suspended license.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","TWO NEW JERSEY FINES TOTAL MORE THAN $400,000 FOR HMOS, Bestwire, April 6, 2000 (via Nexis).",""
"UnitedHealthcare of New Jersey","UnitedHealth Group","$127,400","$0","$127,400","2000","20000406","consumer-protection-related offenses","insurance violation","","New Jersey has fined two health maintenance organizations a total of more than $400,000 for violations that include failure to pay claims on time and failing to remove from a network a doctor with a suspended license.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","TWO NEW JERSEY FINES TOTAL MORE THAN $400,000 FOR HMOS, Bestwire, April 6, 2000 (via Nexis).",""
"Health Net of New Jersey, Inc.","UnitedHealth Group","$874,000","$0","$874,000","2003","20030124","consumer-protection-related offenses","insurance violation","","Health Net was fined $60,000 and ordered to pay restitution of $814,000 for failing to provide mandated infertility benefits and using an outdated fee schedule to reimburse providers and consumers.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://s3.amazonaws.com/fcmd/documents/documents/000/000/424/original/njdobipr.pdf?1423018994",""
"Oxford Health Plans (New Jersey) Inc.","UnitedHealth Group","$40,000","$0","$40,000","2004","20040101","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines04.htm",""
"United Healthcare Insurance Co.","UnitedHealth Group","$5,000","$0","$5,000","2004","20040101","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines04.htm",""
"Health Net of New Jersey, Inc.","UnitedHealth Group","$325,000","$0","$325,000","2006","20060303","consumer-protection-related offenses","insurance violation","","Consolidated Consent Order #E06-44, March 3, 2006; HMO's predecessor, Physician's Health Services of New Jersey, Inc., engaged in improper business practices set forth in a market conduct examination report adopted on January 2, 2003; and Health Net improperly refused to cover certain out-of-network surgical center charges and issued inaccurate, deceptive and misleading letters to certain SEH members that created the false impression that the services were not covered benefits.  Sanctions:  Fine - $325,000; Restitution:  Approximately $100,000 - to be determined by audit.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines06.htm",""
"AmeriChoice of New Jersey, Inc.","UnitedHealth Group","$10,000","$0","$10,000","2006","20061121","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","Newark","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines06.htm",""
"Health Net of New Jersey, Inc.","UnitedHealth Group","$400,000","$0","$400,000","2007","20070315","consumer-protection-related offenses","insurance violation","","Health Net misrepresented to the Department that it wished to implement a proposed repricing methodology which, in fact, had already been put to use; Health Net's use of the repricing methodology violated small group regulations and was not in accordance with the provision of its large group contracts approved prior to April 2005; Health Net violated the terms of its small group contracts by failing to cover a 96-hour supply of certain prescription drugs; Health Net's protocols from May 2005 to September 2006 failed to provide coverage for one or more therapies appropriate to treat children with autism/pervasive developmental disorder, and in instances Health Net denied coverage, in violation of the biologically-based mental illness mandate; Health Net tiered reimbursement for certain out-of-network mental health benefits based on the professional designation of the provider which violated small group rules and which was not in accordance with its large group contracts approved prior to April 2005; and Health Net failed to timely file with the Department the administrative services agreement between it and Health Net of the Northeast, Inc. (its parent) covering administrative, consulting and other support services.  Remediation is being made to adversely affected members or medical providers.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines07.htm",""
"United HealthCare Insurance Company","UnitedHealth Group","$25,000","$0","$25,000","2007","20070430","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines07.htm",""
"AmeriChoice of New Jersey, Inc.","UnitedHealth Group","$300,000","$0","$300,000","2007","20070601","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","Newark","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines07.htm",""
"AmeriChoice of New Jersey, Inc.","UnitedHealth Group","$250,000","$0","$250,000","2008","20080527","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","Newark","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines08.html",""
"Health Net of New Jersey, Inc.","UnitedHealth Group","$41,000,000","$0","$41,000,000","2008","20080826","consumer-protection-related offenses","insurance violation","","Health Net systemically under-reimbursed certain types of claims, affecting approximately 88,000 members; failed to initially disclose to the Department the true extent of under-reimbursements; failed to initially properly remediate under-reimbursements; and improperly denied certain claims for lack of pre-authorization, Sanctions: Restitution - $26 million; Fine - $13 million; Costs - $2 million.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/co_e08_71.pdf",""
"UnitedHealthCare Insurance Company","UnitedHealth Group","$10,000","$0","$10,000","2009","20090523","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines09.htm",""
"Oxford Health Plans (NJ), Inc. and United Healthcare of New Jersey, Inc.","UnitedHealth Group","$975,000","$0","$975,000","2011","20110408","consumer-protection-related offenses","insurance violation","","Market conduct examinations reveal instances of noncompliance with applicable statutes and regulations.  ","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines11.htm",""
"AmeriChoice of New Jersey, Inc.","UnitedHealth Group","$324,000","$0","$324,000","2012","20120529","consumer-protection-related offenses","insurance violation","","Respondent untimely processed certain prior authorization requests and inappropriately denied certain claims as untimely.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","Newark","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines12.htm",""
"UnitedHealthcare Insurance Company","UnitedHealth Group","$117,500","$0","$117,500","2013","20130624","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/insfines13.htm",""
"Oxford Health Insurance, Inc. and UnitedHealthcare Insurance Company","UnitedHealth Group","$800,000","$0","$800,000","2015","20151202","consumer-protection-related offenses","insurance violation","","The Department found that respondents implemented prior authorization/medical necessity programs for certain prescription drugs that resulted in the denial of medically necessary services, improperly denied inpatient treatment for persons suffering from multiple serious mental illnesses, improperly issued and offered to issue small employer plans with retiree coverage, and improperly delayed in complying with a decision of the Independent Health Care Appeals Program.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/enforcement/e15_120.pdf",""
"Oxford Health Insurance, Inc.","UnitedHealth Group","$300,000","$0","$300,000","2016","20160921","consumer-protection-related offenses","insurance violation","","Members were subject to collection activities for services for which their responsibility was limited to network cost sharing and Respondents issued Summary of Benefit and Coverage forms with inaccurate cost sharing information. ","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.state.nj.us/dobi/division_insurance/enforcement/e16_90.pdf",""
